processo_numero;processo_ocorrencia
8135031018;Não há Ocorrência para essa Solicitação
8134992419;Muro com Danos
8134992419;Imoveis com Danos/Risco
8134920518;Não há Ocorrência para essa Solicitação
8134830419;Imoveis com Danos/Risco
8134824419;Não há Ocorrência para essa Solicitação
8134824419;Imoveis com Danos/Risco
8134805019;Imoveis com Danos/Risco
8134789419;Não há Ocorrência para essa Solicitação
8134716719;Não há Ocorrência para essa Solicitação
8134677119;Não há Ocorrência para essa Solicitação
8134628019;Não há Ocorrência para essa Solicitação
8134596119;Muro com Danos
8134596119;Imoveis com Danos/Risco
8134579118;Imoveis com Danos/Risco
8134509119;Não há Ocorrência para essa Solicitação
8134458819;Imoveis com Danos/Risco
8134427718;Arvores em Risco
8134388118;Não há Ocorrência para essa Solicitação
8134388019;Não há Ocorrência para essa Solicitação
8134263418;Não há Ocorrência para essa Solicitação
8134248319;Imoveis com Danos/Risco
8134227619;Não há Ocorrência para essa Solicitação
8134081318;Não há Ocorrência para essa Solicitação
8134079918;Não há Ocorrência para essa Solicitação
8134060618;Não há Ocorrência para essa Solicitação
8134020219;Imoveis com Danos/Risco
8133992019;Não há Ocorrência para essa Solicitação
8133974219;Imoveis com Danos/Risco
8133949819;Imoveis com Danos/Risco
8133945219;Não há Ocorrência para essa Solicitação
8133934019;Não há Ocorrência para essa Solicitação
8133933618;Invasao de Terreno de Auxilio Moradia
8133933618;Imoveis com Danos/Risco
8133913319;Imoveis com Danos/Risco
8133906719;Imoveis com Danos/Risco
8133896119;Não há Ocorrência para essa Solicitação
8133869618;Não há Ocorrência para essa Solicitação
8133849518;Imoveis com Danos/Risco
8133847218;Não há Ocorrência para essa Solicitação
8133830218;Imoveis com Danos/Risco
8133736419;Não há Ocorrência para essa Solicitação
8133591818;Não há Ocorrência para essa Solicitação
8133545419;Imoveis com Danos/Risco
8133355218;Não há Ocorrência para essa Solicitação
8133321018;Imoveis com Danos/Risco
8133319618;Não há Ocorrência para essa Solicitação
8133286919;Não há Ocorrência para essa Solicitação
8133251218;Imoveis com Danos/Risco
8133228919;Muro com Danos
8133208819;Imoveis com Danos/Risco
8133205919;Não há Ocorrência para essa Solicitação
8133175219;Não há Ocorrência para essa Solicitação
8133153018;Não há Ocorrência para essa Solicitação
8133035619;Imoveis com Danos/Risco
8132990618;Não há Ocorrência para essa Solicitação
8132964518;Não há Ocorrência para essa Solicitação
8132952718;Não há Ocorrência para essa Solicitação
8132896819;Muro com Danos
8132821018;Não há Ocorrência para essa Solicitação
8132812018;Não há Ocorrência para essa Solicitação
8132785119;Imoveis com Danos/Risco
8132652119;Imoveis com Danos/Risco
8132650919;Imoveis com Danos/Risco
8132611518;Não há Ocorrência para essa Solicitação
